"Image","Condition","Mantle SKU","Product Name","Short Code","Rarity","Card Type","Card Number","Product Line","Foil"
https://images.pokemontcg.io/sv1/176_hires.png,Near Mint,PKM-sv1-176-NM,Judge,sv1-176,Uncommon,,"176",Pokemon,
https://images.pokemontcg.io/sv1/176_hires.png,Near Mint Foil,PKM-sv1-176-NM-F,Judge,sv1-176,Uncommon,,"176",Pokemon,
https://images.pokemontcg.io/sv1/184_hires.png,Near Mint,PKM-sv1-184-NM,Picnic Basket,sv1-184,Uncommon,,"184",Pokemon,
https://images.pokemontcg.io/sv1/184_hires.png,Near Mint Foil,PKM-sv1-184-NM-F,Picnic Basket,sv1-184,Uncommon,,"184",Pokemon,
https://images.pokemontcg.io/sv1/183_hires.png,Near Mint,PKM-sv1-183-NM,Penny,sv1-183,Uncommon,,"183",Pokemon,
https://images.pokemontcg.io/sv1/183_hires.png,Near Mint Foil,PKM-sv1-183-NM-F,Penny,sv1-183,Uncommon,,"183",Pokemon,
https://images.pokemontcg.io/sv1/237_hires.png,Near Mint,PKM-sv1-237-NM,Katy,sv1-237,Ultra Rare,,"237",Pokemon,
https://images.pokemontcg.io/sv1/237_hires.png,Near Mint Foil,PKM-sv1-237-NM-F,Katy,sv1-237,Ultra Rare,,"237",Pokemon,
https://images.pokemontcg.io/ex1/100_hires.png,Near Mint,PKM-ex1-100-NM,Magmar ex,ex1-100,Rare Holo EX,,"100",Pokemon,
https://images.pokemontcg.io/ex1/100_hires.png,Near Mint Foil,PKM-ex1-100-NM-F,Magmar ex,ex1-100,Rare Holo EX,,"100",Pokemon,
https://images.pokemontcg.io/ex1/99_hires.png,Near Mint Foil,PKM-ex1-99-NM-F,Lapras ex,ex1-99,Rare Holo EX,,"99",Pokemon,
https://images.pokemontcg.io/ex1/99_hires.png,Near Mint,PKM-ex1-99-NM,Lapras ex,ex1-99,Rare Holo EX,,"99",Pokemon,
https://images.pokemontcg.io/ex1/102_hires.png,Near Mint Foil,PKM-ex1-102-NM-F,Scyther ex,ex1-102,Rare Holo EX,,"102",Pokemon,
https://images.pokemontcg.io/ex1/102_hires.png,Near Mint,PKM-ex1-102-NM,Scyther ex,ex1-102,Rare Holo EX,,"102",Pokemon,
https://images.pokemontcg.io/pgo/30_hires.png,Near Mint Foil,PKM-pgo-30-NM-F,Mewtwo V,pgo-30,Rare Holo V,,"30",Pokemon,
https://images.pokemontcg.io/sv1/182_hires.png,Near Mint,PKM-sv1-182-NM,Pal Pad,sv1-182,Common,,"182",Pokemon,
https://images.pokemontcg.io/sv1/182_hires.png,Near Mint Foil,PKM-sv1-182-NM-F,Pal Pad,sv1-182,Common,,"182",Pokemon,
https://images.pokemontcg.io/sv1/180_hires.png,Near Mint,PKM-sv1-180-NM,Nemona,sv1-180,Common,,"180",Pokemon,
https://images.pokemontcg.io/sv1/180_hires.png,Near Mint Foil,PKM-sv1-180-NM-F,Nemona,sv1-180,Common,,"180",Pokemon,
https://images.pokemontcg.io/ex1/103_hires.png,Near Mint,PKM-ex1-103-NM,Sneasel ex,ex1-103,Rare Holo EX,,"103",Pokemon,
https://images.pokemontcg.io/ex1/103_hires.png,Near Mint Foil,PKM-ex1-103-NM-F,Sneasel ex,ex1-103,Rare Holo EX,,"103",Pokemon,
https://images.pokemontcg.io/ex1/101_hires.png,Near Mint Foil,PKM-ex1-101-NM-F,Mewtwo ex,ex1-101,Rare Holo EX,,"101",Pokemon,
https://images.pokemontcg.io/ex1/98_hires.png,Near Mint,PKM-ex1-98-NM,Hitmonchan ex,ex1-98,Rare Holo EX,,"98",Pokemon,
https://images.pokemontcg.io/ex1/98_hires.png,Near Mint Foil,PKM-ex1-98-NM-F,Hitmonchan ex,ex1-98,Rare Holo EX,,"98",Pokemon,
https://images.pokemontcg.io/sv1/173_hires.png,Near Mint,PKM-sv1-173-NM,Energy Switch,sv1-173,Common,,"173",Pokemon,
https://images.pokemontcg.io/sv1/173_hires.png,Near Mint Foil,PKM-sv1-173-NM-F,Energy Switch,sv1-173,Common,,"173",Pokemon,
https://images.pokemontcg.io/pgo/67_hires.png,Near Mint Foil,PKM-pgo-67-NM-F,Lure Module,pgo-67,Uncommon,,"67",Pokemon,
https://images.pokemontcg.io/ex7/109_hires.png,Near Mint,PKM-ex7-109-NM,Treecko ★,ex7-109,Rare Holo Star,,"109",Pokemon,
https://images.pokemontcg.io/ex7/109_hires.png,Near Mint Foil,PKM-ex7-109-NM-F,Treecko ★,ex7-109,Rare Holo Star,,"109",Pokemon,
https://images.pokemontcg.io/ecard3/71_hires.png,Near Mint Foil,PKM-ecard3-71-NM-F,Lapras,ecard3-71,Common,,"71",Pokemon,
https://images.pokemontcg.io/ecard3/85_hires.png,Near Mint Foil,PKM-ecard3-85-NM-F,Pineco,ecard3-85,Common,,"85",Pokemon,
https://images.pokemontcg.io/ecard3/69_hires.png,Near Mint,PKM-ecard3-69-NM,Kadabra,ecard3-69,Common,,"69",Pokemon,
https://images.pokemontcg.io/ecard3/64_hires.png,Near Mint,PKM-ecard3-64-NM,Heracross,ecard3-64,Common,,"64",Pokemon,
https://images.pokemontcg.io/sv8/18_hires.png,Near Mint Foil,PKM-sv8-18-NM-F,Paldean Tauros,sv8-18,Uncommon,,"18",Pokemon,
https://images.pokemontcg.io/sv8/18_hires.png,Near Mint,PKM-sv8-18-NM,Paldean Tauros,sv8-18,Uncommon,,"18",Pokemon,
https://images.pokemontcg.io/ecard3/79_hires.png,Near Mint Foil,PKM-ecard3-79-NM-F,Murkrow,ecard3-79,Common,,"79",Pokemon,
https://images.pokemontcg.io/ecard3/78_hires.png,Near Mint Foil,PKM-ecard3-78-NM-F,Meowth,ecard3-78,Common,,"78",Pokemon,
https://images.pokemontcg.io/ecard3/98_hires.png,Near Mint,PKM-ecard3-98-NM,Slugma,ecard3-98,Common,,"98",Pokemon,
https://images.pokemontcg.io/swsh11/71_hires.png,Near Mint,PKM-swsh11-71-NM,Mawile,swsh11-71,Common,,"71",Pokemon,
https://images.pokemontcg.io/ecard3/65_hires.png,Near Mint Foil,PKM-ecard3-65-NM-F,Hoothoot,ecard3-65,Common,,"65",Pokemon,
https://images.pokemontcg.io/ecard3/65_hires.png,Near Mint,PKM-ecard3-65-NM,Hoothoot,ecard3-65,Common,,"65",Pokemon,
https://images.pokemontcg.io/ecard3/60_hires.png,Near Mint,PKM-ecard3-60-NM,Golbat,ecard3-60,Common,,"60",Pokemon,
https://images.pokemontcg.io/ecard3/60_hires.png,Near Mint Foil,PKM-ecard3-60-NM-F,Golbat,ecard3-60,Common,,"60",Pokemon,
https://images.pokemontcg.io/ecard3/86_hires.png,Near Mint Foil,PKM-ecard3-86-NM-F,Pineco,ecard3-86,Common,,"86",Pokemon,
https://images.pokemontcg.io/ecard3/86_hires.png,Near Mint,PKM-ecard3-86-NM,Pineco,ecard3-86,Common,,"86",Pokemon,
https://images.pokemontcg.io/ecard3/73_hires.png,Near Mint,PKM-ecard3-73-NM,Ledyba,ecard3-73,Common,,"73",Pokemon,
https://images.pokemontcg.io/ecard3/92_hires.png,Near Mint Foil,PKM-ecard3-92-NM-F,Sandshrew,ecard3-92,Common,,"92",Pokemon,
https://images.pokemontcg.io/ecard3/92_hires.png,Near Mint,PKM-ecard3-92-NM,Sandshrew,ecard3-92,Common,,"92",Pokemon,
https://images.pokemontcg.io/ecard3/73_hires.png,Near Mint Foil,PKM-ecard3-73-NM-F,Ledyba,ecard3-73,Common,,"73",Pokemon,
https://images.pokemontcg.io/ecard3/70_hires.png,Near Mint Foil,PKM-ecard3-70-NM-F,Kakuna,ecard3-70,Common,,"70",Pokemon,
https://images.pokemontcg.io/ecard3/87_hires.png,Near Mint Foil,PKM-ecard3-87-NM-F,Poliwag,ecard3-87,Common,,"87",Pokemon,
https://images.pokemontcg.io/smp/SM177_hires.png,Near Mint,PKM-smp-SM177-NM,Meltan,smp-SM177,Promo,,SM177,Pokemon,
https://images.pokemontcg.io/smp/SM225_hires.png,Near Mint Foil,PKM-smp-SM225-NM-F,Victini,smp-SM225,Promo,,SM225,Pokemon,
https://images.pokemontcg.io/smp/SM224_hires.png,Near Mint,PKM-smp-SM224-NM,Celebi,smp-SM224,Promo,,SM224,Pokemon,
https://images.pokemontcg.io/sv8/214_hires.png,Near Mint,PKM-sv8-214-NM,Braviary,sv8-214,Illustration Rare,,"214",Pokemon,
https://images.pokemontcg.io/swsh11/138_hires.png,Near Mint Foil,PKM-swsh11-138-NM-F,Lickitung,swsh11-138,Common,,"138",Pokemon,
https://images.pokemontcg.io/swsh11/80_hires.png,Near Mint,PKM-swsh11-80-NM,Mimikyu,swsh11-80,Rare,,"80",Pokemon,
https://images.pokemontcg.io/swsh11/193_hires.png,Near Mint,PKM-swsh11-193-NM,Lady,swsh11-193,Rare Ultra,,"193",Pokemon,
https://images.pokemontcg.io/sv8pt5/5_hires.png,Near Mint Foil,PKM-sv8pt5-5-NM-F,Leafeon,sv8pt5-5,Rare,,"5",Pokemon,
https://images.pokemontcg.io/ecard3/91_hires.png,Near Mint Foil,PKM-ecard3-91-NM-F,Rhyhorn,ecard3-91,Common,,"91",Pokemon,
https://images.pokemontcg.io/ecard3/68_hires.png,Near Mint,PKM-ecard3-68-NM,Jigglypuff,ecard3-68,Common,,"68",Pokemon,
https://images.pokemontcg.io/ecard3/68_hires.png,Near Mint Foil,PKM-ecard3-68-NM-F,Jigglypuff,ecard3-68,Common,,"68",Pokemon,
https://images.pokemontcg.io/ecard3/87_hires.png,Near Mint,PKM-ecard3-87-NM,Poliwag,ecard3-87,Common,,"87",Pokemon,
https://images.pokemontcg.io/ecard3/76_hires.png,Near Mint,PKM-ecard3-76-NM,Magnemite,ecard3-76,Common,,"76",Pokemon,
https://images.pokemontcg.io/ecard3/76_hires.png,Near Mint Foil,PKM-ecard3-76-NM-F,Magnemite,ecard3-76,Common,,"76",Pokemon,
https://images.pokemontcg.io/ecard3/81_hires.png,Near Mint,PKM-ecard3-81-NM,Nidoran ♀,ecard3-81,Common,,"81",Pokemon,
https://images.pokemontcg.io/ecard3/91_hires.png,Near Mint,PKM-ecard3-91-NM,Rhyhorn,ecard3-91,Common,,"91",Pokemon,
https://images.pokemontcg.io/ecard3/75_hires.png,Near Mint Foil,PKM-ecard3-75-NM-F,Magikarp,ecard3-75,Common,,"75",Pokemon,
https://images.pokemontcg.io/ecard3/75_hires.png,Near Mint,PKM-ecard3-75-NM,Magikarp,ecard3-75,Common,,"75",Pokemon,
https://images.pokemontcg.io/ecard3/61_hires.png,Near Mint Foil,PKM-ecard3-61-NM-F,Granbull,ecard3-61,Common,,"61",Pokemon,
https://images.pokemontcg.io/ecard3/61_hires.png,Near Mint,PKM-ecard3-61-NM,Granbull,ecard3-61,Common,,"61",Pokemon,
https://images.pokemontcg.io/ecard3/88_hires.png,Near Mint,PKM-ecard3-88-NM,Poliwhirl,ecard3-88,Common,,"88",Pokemon,
https://images.pokemontcg.io/ecard3/74_hires.png,Near Mint Foil,PKM-ecard3-74-NM-F,Machop,ecard3-74,Common,,"74",Pokemon,
https://images.pokemontcg.io/ecard3/74_hires.png,Near Mint,PKM-ecard3-74-NM,Machop,ecard3-74,Common,,"74",Pokemon,
https://images.pokemontcg.io/ecard3/81_hires.png,Near Mint Foil,PKM-ecard3-81-NM-F,Nidoran ♀,ecard3-81,Common,,"81",Pokemon,
https://images.pokemontcg.io/ecard3/117_hires.png,Near Mint Foil,PKM-ecard3-117-NM-F,Zubat,ecard3-117,Common,,"117",Pokemon,
https://images.pokemontcg.io/ecard3/79_hires.png,Near Mint,PKM-ecard3-79-NM,Murkrow,ecard3-79,Common,,"79",Pokemon,
https://images.pokemontcg.io/ecard3/67_hires.png,Near Mint,PKM-ecard3-67-NM,Igglybuff,ecard3-67,Common,,"67",Pokemon,
https://images.pokemontcg.io/ecard3/80_hires.png,Near Mint Foil,PKM-ecard3-80-NM-F,Natu,ecard3-80,Common,,"80",Pokemon,
https://images.pokemontcg.io/ecard3/80_hires.png,Near Mint,PKM-ecard3-80-NM,Natu,ecard3-80,Common,,"80",Pokemon,
https://images.pokemontcg.io/ecard3/82_hires.png,Near Mint,PKM-ecard3-82-NM,Nidoran ♀,ecard3-82,Common,,"82",Pokemon,
https://images.pokemontcg.io/ecard3/69_hires.png,Near Mint Foil,PKM-ecard3-69-NM-F,Kadabra,ecard3-69,Common,,"69",Pokemon,
https://images.pokemontcg.io/ecard3/72_hires.png,Near Mint,PKM-ecard3-72-NM,Ledyba,ecard3-72,Common,,"72",Pokemon,
https://images.pokemontcg.io/ecard3/72_hires.png,Near Mint Foil,PKM-ecard3-72-NM-F,Ledyba,ecard3-72,Common,,"72",Pokemon,
https://images.pokemontcg.io/ecard3/82_hires.png,Near Mint Foil,PKM-ecard3-82-NM-F,Nidoran ♀,ecard3-82,Common,,"82",Pokemon,
https://images.pokemontcg.io/ecard3/90_hires.png,Near Mint,PKM-ecard3-90-NM,Rattata,ecard3-90,Common,,"90",Pokemon,
https://images.pokemontcg.io/ecard3/90_hires.png,Near Mint Foil,PKM-ecard3-90-NM-F,Rattata,ecard3-90,Common,,"90",Pokemon,
https://images.pokemontcg.io/ecard3/67_hires.png,Near Mint Foil,PKM-ecard3-67-NM-F,Igglybuff,ecard3-67,Common,,"67",Pokemon,
https://images.pokemontcg.io/ecard3/77_hires.png,Near Mint,PKM-ecard3-77-NM,Mantine,ecard3-77,Common,,"77",Pokemon,
https://images.pokemontcg.io/ecard3/77_hires.png,Near Mint Foil,PKM-ecard3-77-NM-F,Mantine,ecard3-77,Common,,"77",Pokemon,
https://images.pokemontcg.io/ecard3/88_hires.png,Near Mint Foil,PKM-ecard3-88-NM-F,Poliwhirl,ecard3-88,Common,,"88",Pokemon,
https://images.pokemontcg.io/ecard3/84_hires.png,Near Mint,PKM-ecard3-84-NM,Pikachu,ecard3-84,Common,,"84",Pokemon,
https://images.pokemontcg.io/ecard3/84_hires.png,Near Mint Foil,PKM-ecard3-84-NM-F,Pikachu,ecard3-84,Common,,"84",Pokemon,
https://images.pokemontcg.io/ecard3/70_hires.png,Near Mint,PKM-ecard3-70-NM,Kakuna,ecard3-70,Common,,"70",Pokemon,
https://images.pokemontcg.io/ecard3/89_hires.png,Near Mint Foil,PKM-ecard3-89-NM-F,Raticate,ecard3-89,Common,,"89",Pokemon,
https://images.pokemontcg.io/swsh11/85_hires.png,Near Mint Foil,PKM-swsh11-85-NM-F,Poliwrath,swsh11-85,Rare,,"85",Pokemon,
https://images.pokemontcg.io/ecard3/89_hires.png,Near Mint,PKM-ecard3-89-NM,Raticate,ecard3-89,Common,,"89",Pokemon,
https://images.pokemontcg.io/ecard3/108_hires.png,Near Mint,PKM-ecard3-108-NM,Swinub,ecard3-108,Common,,"108",Pokemon,
https://images.pokemontcg.io/ecard3/108_hires.png,Near Mint Foil,PKM-ecard3-108-NM-F,Swinub,ecard3-108,Common,,"108",Pokemon,
https://images.pokemontcg.io/ecard3/107_hires.png,Near Mint,PKM-ecard3-107-NM,Swinub,ecard3-107,Common,,"107",Pokemon,
https://images.pokemontcg.io/ecard3/107_hires.png,Near Mint Foil,PKM-ecard3-107-NM-F,Swinub,ecard3-107,Common,,"107",Pokemon,
https://images.pokemontcg.io/ecard3/96_hires.png,Near Mint Foil,PKM-ecard3-96-NM-F,Shuckle,ecard3-96,Common,,"96",Pokemon,
https://images.pokemontcg.io/ecard3/98_hires.png,Near Mint Foil,PKM-ecard3-98-NM-F,Slugma,ecard3-98,Common,,"98",Pokemon,
https://images.pokemontcg.io/ecard3/96_hires.png,Near Mint,PKM-ecard3-96-NM,Shuckle,ecard3-96,Common,,"96",Pokemon,
https://images.pokemontcg.io/ecard3/112_hires.png,Near Mint Foil,PKM-ecard3-112-NM-F,Venonat,ecard3-112,Common,,"112",Pokemon,
https://images.pokemontcg.io/ecard3/95_hires.png,Near Mint,PKM-ecard3-95-NM,Seel,ecard3-95,Common,,"95",Pokemon,
https://images.pokemontcg.io/ecard3/95_hires.png,Near Mint Foil,PKM-ecard3-95-NM-F,Seel,ecard3-95,Common,,"95",Pokemon,
https://images.pokemontcg.io/ecard3/112_hires.png,Near Mint,PKM-ecard3-112-NM,Venonat,ecard3-112,Common,,"112",Pokemon,
https://images.pokemontcg.io/ecard3/116_hires.png,Near Mint Foil,PKM-ecard3-116-NM-F,Yanma,ecard3-116,Common,,"116",Pokemon,
https://images.pokemontcg.io/ecard3/116_hires.png,Near Mint,PKM-ecard3-116-NM,Yanma,ecard3-116,Common,,"116",Pokemon,
https://images.pokemontcg.io/ecard3/117_hires.png,Near Mint,PKM-ecard3-117-NM,Zubat,ecard3-117,Common,,"117",Pokemon,
https://images.pokemontcg.io/ecard3/106_hires.png,Near Mint,PKM-ecard3-106-NM,Sunkern,ecard3-106,Common,,"106",Pokemon,
https://images.pokemontcg.io/ecard3/106_hires.png,Near Mint Foil,PKM-ecard3-106-NM-F,Sunkern,ecard3-106,Common,,"106",Pokemon,
https://images.pokemontcg.io/ecard3/103_hires.png,Near Mint,PKM-ecard3-103-NM,Staryu,ecard3-103,Common,,"103",Pokemon,
https://images.pokemontcg.io/ecard3/103_hires.png,Near Mint Foil,PKM-ecard3-103-NM-F,Staryu,ecard3-103,Common,,"103",Pokemon,
https://images.pokemontcg.io/ecard3/93_hires.png,Near Mint,PKM-ecard3-93-NM,Sandslash,ecard3-93,Common,,"93",Pokemon,
https://images.pokemontcg.io/ecard3/93_hires.png,Near Mint Foil,PKM-ecard3-93-NM-F,Sandslash,ecard3-93,Common,,"93",Pokemon,
https://images.pokemontcg.io/ecard3/94_hires.png,Near Mint,PKM-ecard3-94-NM,Seel,ecard3-94,Common,,"94",Pokemon,
https://images.pokemontcg.io/ecard3/94_hires.png,Near Mint Foil,PKM-ecard3-94-NM-F,Seel,ecard3-94,Common,,"94",Pokemon,
https://images.pokemontcg.io/ecard3/114_hires.png,Near Mint Foil,PKM-ecard3-114-NM-F,Weedle,ecard3-114,Common,,"114",Pokemon,
https://images.pokemontcg.io/ecard3/114_hires.png,Near Mint,PKM-ecard3-114-NM,Weedle,ecard3-114,Common,,"114",Pokemon,
https://images.pokemontcg.io/ecard3/102_hires.png,Near Mint,PKM-ecard3-102-NM,Stantler,ecard3-102,Common,,"102",Pokemon,
https://images.pokemontcg.io/ecard3/102_hires.png,Near Mint Foil,PKM-ecard3-102-NM-F,Stantler,ecard3-102,Common,,"102",Pokemon,
https://images.pokemontcg.io/swsh11/101_hires.png,Near Mint Foil,PKM-swsh11-101-NM-F,Relicanth,swsh11-101,Uncommon,,"101",Pokemon,
https://images.pokemontcg.io/ecard3/115_hires.png,Near Mint,PKM-ecard3-115-NM,Weedle,ecard3-115,Common,,"115",Pokemon,
https://images.pokemontcg.io/ecard3/115_hires.png,Near Mint Foil,PKM-ecard3-115-NM-F,Weedle,ecard3-115,Common,,"115",Pokemon,
https://images.pokemontcg.io/ecard3/105_hires.png,Near Mint,PKM-ecard3-105-NM,Sunflora,ecard3-105,Common,,"105",Pokemon,
https://images.pokemontcg.io/ecard3/105_hires.png,Near Mint Foil,PKM-ecard3-105-NM-F,Sunflora,ecard3-105,Common,,"105",Pokemon,
https://images.pokemontcg.io/ecard3/104_hires.png,Near Mint,PKM-ecard3-104-NM,Staryu,ecard3-104,Common,,"104",Pokemon,
https://images.pokemontcg.io/ecard3/104_hires.png,Near Mint Foil,PKM-ecard3-104-NM-F,Staryu,ecard3-104,Common,,"104",Pokemon,
https://images.pokemontcg.io/ecard3/99_hires.png,Near Mint Foil,PKM-ecard3-99-NM-F,Slugma,ecard3-99,Common,,"99",Pokemon,
https://images.pokemontcg.io/ecard3/111_hires.png,Near Mint,PKM-ecard3-111-NM,Venomoth,ecard3-111,Common,,"111",Pokemon,
https://images.pokemontcg.io/ecard3/97_hires.png,Near Mint,PKM-ecard3-97-NM,Skarmory,ecard3-97,Common,,"97",Pokemon,
https://images.pokemontcg.io/ecard3/97_hires.png,Near Mint Foil,PKM-ecard3-97-NM-F,Skarmory,ecard3-97,Common,,"97",Pokemon,
https://images.pokemontcg.io/ecard3/110_hires.png,Near Mint Foil,PKM-ecard3-110-NM-F,Ursaring,ecard3-110,Common,,"110",Pokemon,
https://images.pokemontcg.io/ecard3/110_hires.png,Near Mint,PKM-ecard3-110-NM,Ursaring,ecard3-110,Common,,"110",Pokemon,
https://images.pokemontcg.io/ecard3/101_hires.png,Near Mint Foil,PKM-ecard3-101-NM-F,Snubbull,ecard3-101,Common,,"101",Pokemon,
https://images.pokemontcg.io/ecard3/101_hires.png,Near Mint,PKM-ecard3-101-NM,Snubbull,ecard3-101,Common,,"101",Pokemon,
https://images.pokemontcg.io/ecard3/113_hires.png,Near Mint,PKM-ecard3-113-NM,Voltorb,ecard3-113,Common,,"113",Pokemon,
https://images.pokemontcg.io/ecard3/113_hires.png,Near Mint Foil,PKM-ecard3-113-NM-F,Voltorb,ecard3-113,Common,,"113",Pokemon,
https://images.pokemontcg.io/ecard3/118_hires.png,Near Mint Foil,PKM-ecard3-118-NM-F,Zubat,ecard3-118,Common,,"118",Pokemon,
https://images.pokemontcg.io/ecard3/118_hires.png,Near Mint,PKM-ecard3-118-NM,Zubat,ecard3-118,Common,,"118",Pokemon,
https://images.pokemontcg.io/ecard3/111_hires.png,Near Mint Foil,PKM-ecard3-111-NM-F,Venomoth,ecard3-111,Common,,"111",Pokemon,
https://images.pokemontcg.io/ecard3/109_hires.png,Near Mint,PKM-ecard3-109-NM,Teddiursa,ecard3-109,Common,,"109",Pokemon,
https://images.pokemontcg.io/ecard3/109_hires.png,Near Mint Foil,PKM-ecard3-109-NM-F,Teddiursa,ecard3-109,Common,,"109",Pokemon,
https://images.pokemontcg.io/dp5/89_hires.png,Near Mint Foil,PKM-dp5-89-NM-F,Dome Fossil,dp5-89,Common,,"89",Pokemon,
https://images.pokemontcg.io/dp5/89_hires.png,Near Mint,PKM-dp5-89-NM,Dome Fossil,dp5-89,Common,,"89",Pokemon,
https://images.pokemontcg.io/sv8/19_hires.png,Near Mint Foil,PKM-sv8-19-NM-F,Ho-Oh,sv8-19,Uncommon,,"19",Pokemon,
https://images.pokemontcg.io/sv8/19_hires.png,Near Mint,PKM-sv8-19-NM,Ho-Oh,sv8-19,Uncommon,,"19",Pokemon,
https://images.pokemontcg.io/ex2/95_hires.png,Near Mint,PKM-ex2-95-NM,Aggron ex,ex2-95,Rare Holo EX,,"95",Pokemon,
https://images.pokemontcg.io/xy9/101_hires.png,Near Mint,PKM-xy9-101-NM,Gyarados Spirit Link,xy9-101,Uncommon,,"101",Pokemon,
https://images.pokemontcg.io/xy9/101_hires.png,Near Mint Foil,PKM-xy9-101-NM-F,Gyarados Spirit Link,xy9-101,Uncommon,,"101",Pokemon,
https://images.pokemontcg.io/xy9/107_hires.png,Near Mint,PKM-xy9-107-NM,Professor Sycamore,xy9-107,Uncommon,,"107",Pokemon,
https://images.pokemontcg.io/xy9/107_hires.png,Near Mint Foil,PKM-xy9-107-NM-F,Professor Sycamore,xy9-107,Uncommon,,"107",Pokemon,
https://images.pokemontcg.io/xy9/113_hires.png,Near Mint Foil,PKM-xy9-113-NM-F,Splash Energy,xy9-113,Uncommon,,"113",Pokemon,
https://images.pokemontcg.io/xy9/113_hires.png,Near Mint,PKM-xy9-113-NM,Splash Energy,xy9-113,Uncommon,,"113",Pokemon,
https://images.pokemontcg.io/xy9/90_hires.png,Near Mint Foil,PKM-xy9-90-NM-F,Dunsparce,xy9-90,Uncommon,,"90",Pokemon,
https://images.pokemontcg.io/xy9/99_hires.png,Near Mint Foil,PKM-xy9-99-NM-F,Fighting Fury Belt,xy9-99,Uncommon,,"99",Pokemon,
https://images.pokemontcg.io/xy9/99_hires.png,Near Mint,PKM-xy9-99-NM,Fighting Fury Belt,xy9-99,Uncommon,,"99",Pokemon,
https://images.pokemontcg.io/xy9/91_hires.png,Near Mint,PKM-xy9-91-NM,Stantler,xy9-91,Uncommon,,"91",Pokemon,
https://images.pokemontcg.io/xy9/91_hires.png,Near Mint Foil,PKM-xy9-91-NM-F,Stantler,xy9-91,Uncommon,,"91",Pokemon,
https://images.pokemontcg.io/sv8/21_hires.png,Near Mint Foil,PKM-sv8-21-NM-F,Victini,sv8-21,Uncommon,,"21",Pokemon,
